run_id,stage,method,modality,task,fold_scope,label_formulation,recipe,hyperparameter_tag,authorized_runs_after_design_review,expand_condition
1,smoke,CE_plus_SupCon,EEG,valence,fold1_only,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1,Only after all smoke tests pass and design review authorizes training.
2,smoke,CE_plus_SupCon,EEG,arousal,fold1_only,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1,Only after all smoke tests pass and design review authorizes training.
3,smoke,CE_plus_SupCon,EMG,valence,fold1_only,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1,Only after all smoke tests pass and design review authorizes training.
4,smoke,CE_plus_SupCon,EMG,arousal,fold1_only,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,1,Only after all smoke tests pass and design review authorizes training.
5,first_pass_minimal,CE_plus_SupCon,EEG,valence,folds_1_to_6,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,6,Only after all smoke tests pass and design review authorizes training.
6,first_pass_minimal,CE_plus_SupCon,EEG,arousal,folds_1_to_6,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,6,Only after all smoke tests pass and design review authorizes training.
7,first_pass_minimal,CE_plus_SupCon,EMG,valence,folds_1_to_6,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,6,Only after all smoke tests pass and design review authorizes training.
8,first_pass_minimal,CE_plus_SupCon,EMG,arousal,folds_1_to_6,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_proj64_warmup3,6,Only after all smoke tests pass and design review authorizes training.
9,first_pass_dg_probe,CE_plus_VREx,EEG,valence,folds_1_to_6,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,6,Only after all smoke tests pass and design review authorizes training.
10,first_pass_dg_probe,CE_plus_VREx,EEG,arousal,folds_1_to_6,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,6,Only after all smoke tests pass and design review authorizes training.
11,first_pass_dg_probe,CE_plus_VREx,EMG,valence,folds_1_to_6,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,6,Only after all smoke tests pass and design review authorizes training.
12,first_pass_dg_probe,CE_plus_VREx,EMG,arousal,folds_1_to_6,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,lambdaVREx0p05_warmup3,6,Only after all smoke tests pass and design review authorizes training.
13,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,valence,folds_1_to_6,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,6,Only after all smoke tests pass and design review authorizes training.
14,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EEG,arousal,folds_1_to_6,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,6,Only after all smoke tests pass and design review authorizes training.
15,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,valence,folds_1_to_6,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,6,Only after all smoke tests pass and design review authorizes training.
16,first_pass_combined_probe,CE_plus_SupCon_plus_VREx,EMG,arousal,folds_1_to_6,subject_top_bottom_quantile_q33,ce_class_weighted_base_plus_method_loss,tau0p10_lambdaSupCon0p10_lambdaVREx0p05_proj64_warmup3,6,Only after all smoke tests pass and design review authorizes training.
