eeg_file,exists,subject_col,trial_rows,status,error
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat',)",False,sbj_P_01,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat',)",False,sbj_P_02,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat',)",False,sbj_P_03,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_05.mat',)",False,sbj_P_05,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_05.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_06.mat',)",False,sbj_P_06,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_06.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_07.mat',)",False,sbj_P_07,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_07.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_08.mat',)",False,sbj_P_08,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_08.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_09.mat',)",False,sbj_P_09,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_09.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_10.mat',)",False,sbj_P_10,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_10.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_11.mat',)",False,sbj_P_11,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_11.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
"('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_12.mat',)",False,sbj_P_12,32,failed,"FileNotFoundError(2, ""Unable to synchronously open file (unable to open file: name = '('/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_12.mat',)', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)"")"
