smoke_id,candidate_id,modality,task,fold,metric,value,passed
leakage_guard,A0_CE_control,EEG,valence,1,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EEG,valence,1,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EEG,valence,2,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EEG,valence,2,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EEG,valence,3,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EEG,valence,3,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EEG,valence,4,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EEG,valence,4,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EEG,valence,5,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EEG,valence,5,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EEG,valence,6,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EEG,valence,6,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EEG,arousal,1,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EEG,arousal,1,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EEG,arousal,2,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EEG,arousal,2,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EEG,arousal,3,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EEG,arousal,3,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EEG,arousal,4,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EEG,arousal,4,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EEG,arousal,5,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EEG,arousal,5,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EEG,arousal,6,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EEG,arousal,6,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EMG,valence,1,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EMG,valence,1,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EMG,valence,2,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EMG,valence,2,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EMG,valence,3,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EMG,valence,3,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EMG,valence,4,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EMG,valence,4,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EMG,valence,5,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EMG,valence,5,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EMG,valence,6,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EMG,valence,6,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EMG,arousal,1,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EMG,arousal,1,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EMG,arousal,2,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EMG,arousal,2,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EMG,arousal,3,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EMG,arousal,3,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EMG,arousal,4,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EMG,arousal,4,anchor_positive_coverage,0.0,True
leakage_guard,A0_CE_control,EMG,arousal,5,subject_overlap,0.0,True
pair_coverage_guard,A0_CE_control,EMG,arousal,5,anchor_positive_coverage,0.0,True
