subject_id,subject_col,raw_groupby_eeg_file_key,normalized_eeg_file_path,exists,path_parse_bug_fixed,rows,pass,failure_reason,h5_subject_key,fs,fs_is_512,data_shape,event_begin_count,event_end_count,has_data,has_Fs,has_event_begin,has_event_end,shape_ok,events_ok,rows_ok
1,sbj_P_01,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_01.mat,True,True,32,True,,sbj_P_01,512.0,True,"[565159, 38]",100,100,True,True,True,True,True,True,True
2,sbj_P_02,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_02.mat,True,True,32,True,,sbj_P_02,512.0,True,"[540472, 38]",100,100,True,True,True,True,True,True,True
3,sbj_P_03,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_03.mat,True,True,32,True,,sbj_P_03,512.0,True,"[501013, 38]",100,100,True,True,True,True,True,True,True
5,sbj_P_05,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_05.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_05.mat,True,True,32,True,,sbj_P_05,512.0,True,"[468306, 38]",100,100,True,True,True,True,True,True,True
6,sbj_P_06,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_06.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_06.mat,True,True,32,True,,sbj_P_06,512.0,True,"[510308, 38]",100,100,True,True,True,True,True,True,True
7,sbj_P_07,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_07.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_07.mat,True,True,32,True,,sbj_P_07,512.0,True,"[483434, 38]",100,100,True,True,True,True,True,True,True
8,sbj_P_08,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_08.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_08.mat,True,True,32,True,,sbj_P_08,512.0,True,"[475100, 38]",100,100,True,True,True,True,True,True,True
9,sbj_P_09,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_09.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_09.mat,True,True,32,True,,sbj_P_09,512.0,True,"[489168, 38]",100,100,True,True,True,True,True,True,True
10,sbj_P_10,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_10.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_10.mat,True,True,32,True,,sbj_P_10,512.0,True,"[465487, 38]",100,100,True,True,True,True,True,True,True
11,sbj_P_11,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_11.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_11.mat,True,True,32,True,,sbj_P_11,512.0,True,"[448950, 38]",100,100,True,True,True,True,True,True,True
12,sbj_P_12,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_12.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_12.mat,True,True,32,True,,sbj_P_12,512.0,True,"[414108, 38]",100,100,True,True,True,True,True,True,True
13,sbj_P_13,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_13.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_13.mat,True,True,32,True,,sbj_P_13,512.0,True,"[566578, 38]",100,100,True,True,True,True,True,True,True
14,sbj_P_14,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_14.mat,/mnt/HDD/AliWorks/I-DARE/raw_downloads/EEG/sbj_P_14.mat,True,True,32,True,,sbj_P_14,512.0,True,"[457600, 38]",100,100,True,True,True,True,True,True,True
