objective_run_id,formulation_id,model,training_category,feature_source,modality,task,fold,loso_fold_count,pair_scope,target_type,authorized,notes
1,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EEG,valence,1,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
2,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EEG,valence,2,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
3,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EEG,valence,3,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
4,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EEG,valence,4,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
5,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EEG,valence,5,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
6,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EEG,valence,6,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
7,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EEG,arousal,1,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
8,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EEG,arousal,2,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
9,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EEG,arousal,3,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
10,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EEG,arousal,4,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
11,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EEG,arousal,5,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
12,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EEG,arousal,6,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
13,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EMG,valence,1,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
14,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EMG,valence,2,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
15,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EMG,valence,3,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
16,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EMG,valence,4,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
17,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EMG,valence,5,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
18,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EMG,valence,6,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
19,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EMG,arousal,1,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
20,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EMG,arousal,2,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
21,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EMG,arousal,3,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
22,within_subject_pairwise_affect_preference_ranking_v1,random_balanced_no_training,no_training_control,none,EMG,arousal,4,6,within_subject_only,binary_pairwise_affect_preference,yes,Balanced random preference control; no features and no training.
