manifest_id,artifact,role,archive_status,closeout_status
M001,docs/idare_label_semantics_alternative_pairwise_target_sampling_rethink_spec.md,archived TS_A target/sampling rethink spec,negative_smoke_result_context,included
M002,docs/idare_label_semantics_alternative_pairwise_target_sampling_rethink_smoke_tests_report.md,failed smoke-test report,primary evidence,included
M003,docs/idare_label_semantics_alternative_pairwise_target_sampling_rethink_direction_balance_audit.csv,direction-balance failure evidence,primary evidence,included
M004,docs/idare_label_semantics_alternative_pairwise_target_sampling_rethink_fix_or_archive_report.md,archive decision report,primary decision,included
M005,docs/idare_label_semantics_alternative_pairwise_target_sampling_rethink_fix_decision_matrix.csv,fix/archive decision matrix,decision support,included
M006,scripts/idare/analysis/run_idare_label_semantics_alternative_pairwise_target_sampling_rethink_smoke_tests.py,committed reproducible smoke-test script,reproducibility evidence,included
M007,docs/idare_label_semantics_alternative_pairwise_target_sampling_audit_report.md,upstream sampling artifact audit,context,included
M008,docs/idare_label_semantics_alternative_pairwise_target_sampling_rethink_archive_closeout_report.md,final archive-closeout report,primary closeout,created
M009,docs/idare_label_semantics_alternative_pairwise_target_sampling_rethink_archive_status.csv,machine-readable archive status,primary closeout,created
M010,docs/idare_label_semantics_alternative_pairwise_target_sampling_rethink_next_options_after_closeout.csv,post-closeout next options,decision handoff,created
