step,file,target,decision_summary,metric_summary,status
05an_representation_gate,idare_representation_learning_feasibility_gate_current_decision_table.csv,arousal,representation_gate_decision=GO_REPRESENTATION_LEARNING_REQUIRED; fixed_feature_actionability_status=FIXED_FEATURE_ROUTE_EXHAUSTED_FOR_ACTIONABLE_PERSONALIZATION; physiology_signal_status=DETECTION_SIGNAL_PRESENT_BUT_NOT_ACTIONABLE,locked_B2_rmse=1.6576672767528169,read
05an_representation_gate,idare_representation_learning_feasibility_gate_current_decision_table.csv,valence,representation_gate_decision=GO_REPRESENTATION_LEARNING_REQUIRED; fixed_feature_actionability_status=FIXED_FEATURE_ROUTE_EXHAUSTED_FOR_ACTIONABLE_PERSONALIZATION; physiology_signal_status=NO_ACTIONABLE_FIXED_FEATURE_SIGNAL,locked_B2_rmse=1.1591886890005123,read
05am_sample_reduction,idare_physiology_assisted_calibration_sample_reduction_current_decision_table.csv,arousal,decision=NO_GO_PHYSIOLOGY_ASSISTED_SAMPLE_REDUCTION,best_lower_k_rmse=1.9407191366008123; locked_B2_k16_rmse=1.6576672767528169; pooled_delta_rmse_candidate_minus_locked_B2=0.2830518598479954; pooled_lift_vs_locked_B2_rmse=-0.2830518598479954; ci95_high_mean_delta_candidate_minus_locked_B2=0.3590418514799771; win_margin_vs_locked_B2=-45,read
05am_sample_reduction,idare_physiology_assisted_calibration_sample_reduction_current_decision_table.csv,valence,decision=NO_GO_PHYSIOLOGY_ASSISTED_SAMPLE_REDUCTION,best_lower_k_rmse=1.2579121498487642; locked_B2_k16_rmse=1.1591886890005123; pooled_delta_rmse_candidate_minus_locked_B2=0.0987234608482519; pooled_lift_vs_locked_B2_rmse=-0.0987234608482519; ci95_high_mean_delta_candidate_minus_locked_B2=0.1464100094905639; win_margin_vs_locked_B2=-31,read
05al_failure_rescue,idare_failure_subject_physiology_rescue_audit_current_decision_table.csv,arousal,decision=NO_GO_FAILURE_SUBJECT_PHYSIOLOGY_RESCUE,locked_failure_rmse=2.4305203050167536; candidate_failure_rmse=2.4554745005507805; lift_vs_locked_failure_rmse=-0.0249541955340268; ci95_low_mean_subject_improvement=-0.0360437760286322; win_margin=-8,read
05al_failure_rescue,idare_failure_subject_physiology_rescue_audit_current_decision_table.csv,valence,decision=NO_GO_FAILURE_SUBJECT_PHYSIOLOGY_RESCUE,locked_failure_rmse=2.115952494773989; candidate_failure_rmse=2.1162328659849154; lift_vs_locked_failure_rmse=-0.0002803712109264; ci95_low_mean_subject_improvement=-0.0062888265483928; win_margin=0,read
05ak_bridge,idare_high_disagreement_personalization_bridge_current_decision_table.csv,arousal,decision=NO_GO_PHYSIOLOGY_BRIDGE_TO_LOCKED_PERSONALIZATION,locked_rmse=2.622267149339945; candidate_rmse=2.622267149339945; lift_vs_locked_rmse=0.0; lift_vs_locked_residual_rmse=0.0; residual_pearson=0.6707333035594739; ci95_low_mean_subject_improvement=0.0,read
05ak_bridge,idare_high_disagreement_personalization_bridge_current_decision_table.csv,valence,decision=NO_GO_PHYSIOLOGY_BRIDGE_TO_LOCKED_PERSONALIZATION,locked_rmse=1.9297690086492687; candidate_rmse=1.9297690086492687; lift_vs_locked_rmse=0.0; lift_vs_locked_residual_rmse=0.0; residual_pearson=0.4715494702373676; ci95_low_mean_subject_improvement=0.0,read
05ajb_high_disagreement_confirmatory,idare_high_disagreement_direct_deviation_confirmatory_stats_current_verdict.csv,arousal,decision=GO_CONFIRMED_HIGH_DISAGREEMENT_PHYSIOLOGY,baseline_residual_rmse=3.24013921212341; model_residual_rmse=3.1684144111057955; pooled_lift_vs_zero_residual_rmse=0.0717248010176145; residual_pearson=0.2129723962280969; ci95_low_mean_subject_improvement=0.0109634566556658; ci95_high_mean_subject_improvement=0.1993719822068702,read
05ajb_high_disagreement_confirmatory,idare_high_disagreement_direct_deviation_confirmatory_stats_current_verdict.csv,valence,decision=WEAK_OR_NO_GO_HIGH_DISAGREEMENT_PHYSIOLOGY,baseline_residual_rmse=2.1186046331336152; model_residual_rmse=2.1165960727686213; pooled_lift_vs_zero_residual_rmse=0.0020085603649939; residual_pearson=0.0472656560545474; ci95_low_mean_subject_improvement=-0.0021937933013852; ci95_high_mean_subject_improvement=0.0110791900906067,read
