artifact_path,source_kind,commit_sha,line_number,category,line,excerpt
docs/roca/deap_stimulus_only_loso_current.json,current_worktree,,20,trial_index_reference,"""DEAP trial_id is treated as stimulus/video id."",","16:   ""notes"": [
17:     ""No EEG/EMG data are used."",
18:     ""For every LOSO fold, stimulus means and P(high) are computed from train subjects only."",
19:     ""Test subject labels are used only for final evaluation."",
20:     ""DEAP trial_id is treated as stimulus/video id."",
21:     ""High label is computed with the selected label policy.""
22:   ],
23:   ""issues"": [],
24:   ""outputs"": {"
docs/roca/deap_stimulus_only_loso_current.json,current_worktree,,20,mapping_source_reference,"""DEAP trial_id is treated as stimulus/video id."",","16:   ""notes"": [
17:     ""No EEG/EMG data are used."",
18:     ""For every LOSO fold, stimulus means and P(high) are computed from train subjects only."",
19:     ""Test subject labels are used only for final evaluation."",
20:     ""DEAP trial_id is treated as stimulus/video id."",
21:     ""High label is computed with the selected label policy.""
22:   ],
23:   ""issues"": [],
24:   ""outputs"": {"
docs/roca/deap_stimulus_only_loso_current_predictions.csv,current_worktree,,1,stimulus_id_reference,"test_subject,stimulus_id,trial_id,target,model,y_true_score,y_true_bin,y_pred_score,p_high,y_pred_bin","1: test_subject,stimulus_id,trial_id,target,model,y_true_score,y_true_bin,y_pred_score,p_high,y_pred_bin
2: 1,1,1,valence,global_mean,7.71,1.0,5.258717741935484,0.5556451612903226,1.0
3: 1,2,2,valence,global_mean,8.1,1.0,5.258717741935484,0.5556451612903226,1.0
4: 1,3,3,valence,global_mean,8.58,1.0,5.258717741935484,0.5556451612903226,1.0
5: 1,4,4,valence,global_mean,4.94,0.0,5.258717741935484,0.5556451612903226,1.0"
docs/roca/deap_stimulus_only_loso_current_predictions.csv,current_worktree,,1,trial_index_reference,"test_subject,stimulus_id,trial_id,target,model,y_true_score,y_true_bin,y_pred_score,p_high,y_pred_bin","1: test_subject,stimulus_id,trial_id,target,model,y_true_score,y_true_bin,y_pred_score,p_high,y_pred_bin
2: 1,1,1,valence,global_mean,7.71,1.0,5.258717741935484,0.5556451612903226,1.0
3: 1,2,2,valence,global_mean,8.1,1.0,5.258717741935484,0.5556451612903226,1.0
4: 1,3,3,valence,global_mean,8.58,1.0,5.258717741935484,0.5556451612903226,1.0
5: 1,4,4,valence,global_mean,4.94,0.0,5.258717741935484,0.5556451612903226,1.0"
docs/roca/deap_stimulus_only_loso_current_trial_labels.csv,current_worktree,,1,stimulus_id_reference,"subject_id,subject_file,stimulus_id,trial_id,trial_index_0based,data_shape,valence_score,arousal_score,dominance_score,liking_score","1: subject_id,subject_file,stimulus_id,trial_id,trial_index_0based,data_shape,valence_score,arousal_score,dominance_score,liking_score
2: 1,s01.dat,1,1,0,""[40, 40, 8064]"",7.71,7.6,6.9,7.83
3: 1,s01.dat,2,2,1,""[40, 40, 8064]"",8.1,7.31,7.28,8.47
4: 1,s01.dat,3,3,2,""[40, 40, 8064]"",8.58,7.54,9.0,7.08
5: 1,s01.dat,4,4,3,""[40, 40, 8064]"",4.94,6.01,6.12,8.06"
docs/roca/deap_stimulus_only_loso_current_trial_labels.csv,current_worktree,,1,trial_index_reference,"subject_id,subject_file,stimulus_id,trial_id,trial_index_0based,data_shape,valence_score,arousal_score,dominance_score,liking_score","1: subject_id,subject_file,stimulus_id,trial_id,trial_index_0based,data_shape,valence_score,arousal_score,dominance_score,liking_score
2: 1,s01.dat,1,1,0,""[40, 40, 8064]"",7.71,7.6,6.9,7.83
3: 1,s01.dat,2,2,1,""[40, 40, 8064]"",8.1,7.31,7.28,8.47
4: 1,s01.dat,3,3,2,""[40, 40, 8064]"",8.58,7.54,9.0,7.08
5: 1,s01.dat,4,4,3,""[40, 40, 8064]"",4.94,6.01,6.12,8.06"
docs/roca/deap_stimulus_only_loso_midpoint_high_current.json,current_worktree,,20,trial_index_reference,"""DEAP trial_id is treated as stimulus/video id."",","16:   ""notes"": [
17:     ""No EEG/EMG data are used."",
18:     ""For every LOSO fold, stimulus means and P(high) are computed from train subjects only."",
19:     ""Test subject labels are used only for final evaluation."",
20:     ""DEAP trial_id is treated as stimulus/video id."",
21:     ""High label is computed with the selected label policy.""
22:   ],
23:   ""issues"": [],
24:   ""outputs"": {"
docs/roca/deap_stimulus_only_loso_midpoint_high_current.json,current_worktree,,20,mapping_source_reference,"""DEAP trial_id is treated as stimulus/video id."",","16:   ""notes"": [
17:     ""No EEG/EMG data are used."",
18:     ""For every LOSO fold, stimulus means and P(high) are computed from train subjects only."",
19:     ""Test subject labels are used only for final evaluation."",
20:     ""DEAP trial_id is treated as stimulus/video id."",
21:     ""High label is computed with the selected label policy.""
22:   ],
23:   ""issues"": [],
24:   ""outputs"": {"
docs/roca/deap_stimulus_only_loso_midpoint_high_current_predictions.csv,current_worktree,,1,stimulus_id_reference,"test_subject,stimulus_id,trial_id,target,model,y_true_score,y_true_bin,y_pred_score,p_high,y_pred_bin","1: test_subject,stimulus_id,trial_id,target,model,y_true_score,y_true_bin,y_pred_score,p_high,y_pred_bin
2: 1,1,1,valence,global_mean,7.71,1.0,5.258717741935484,0.5685483870967742,1.0
3: 1,2,2,valence,global_mean,8.1,1.0,5.258717741935484,0.5685483870967742,1.0
4: 1,3,3,valence,global_mean,8.58,1.0,5.258717741935484,0.5685483870967742,1.0
5: 1,4,4,valence,global_mean,4.94,0.0,5.258717741935484,0.5685483870967742,1.0"
docs/roca/deap_stimulus_only_loso_midpoint_high_current_predictions.csv,current_worktree,,1,trial_index_reference,"test_subject,stimulus_id,trial_id,target,model,y_true_score,y_true_bin,y_pred_score,p_high,y_pred_bin","1: test_subject,stimulus_id,trial_id,target,model,y_true_score,y_true_bin,y_pred_score,p_high,y_pred_bin
2: 1,1,1,valence,global_mean,7.71,1.0,5.258717741935484,0.5685483870967742,1.0
3: 1,2,2,valence,global_mean,8.1,1.0,5.258717741935484,0.5685483870967742,1.0
4: 1,3,3,valence,global_mean,8.58,1.0,5.258717741935484,0.5685483870967742,1.0
5: 1,4,4,valence,global_mean,4.94,0.0,5.258717741935484,0.5685483870967742,1.0"
