manifest_id,artifact_group,artifact_path,archive_role,retain,archive_status,closeout_note
ARCHIVE_MANIFEST_001,task_definition,docs/idare_label_semantics_task_redesign_spec.md,defines archived formulation,yes,retained_as_negative_evidence,Do not delete; cite as archived-branch evidence.
ARCHIVE_MANIFEST_002,task_definition,docs/idare_label_semantics_selected_task_definition.csv,selected target definition for archived branch,yes,retained_as_negative_evidence,Do not delete; cite as archived-branch evidence.
ARCHIVE_MANIFEST_003,negative_result,docs/idare_label_semantics_minimal_redesigned_task_first_pass_report.md,minimal first-pass negative/mixed evidence,yes,retained_as_negative_evidence,Do not delete; cite as archived-branch evidence.
ARCHIVE_MANIFEST_004,negative_result,docs/idare_label_semantics_minimal_redesigned_task_failure_or_confirmation_analysis_report.md,failure-or-confirmation analysis,yes,retained_as_negative_evidence,Do not delete; cite as archived-branch evidence.
ARCHIVE_MANIFEST_005,negative_result,docs/idare_label_semantics_redesigned_task_metric_debug_report.md,metric-debug no-actionable-signal diagnosis,yes,retained_as_negative_evidence,Do not delete; cite as archived-branch evidence.
ARCHIVE_MANIFEST_006,archive_decision,docs/idare_label_semantics_redesigned_task_archive_or_alternative_formulation_report.md,formal archive decision,yes,retained_as_negative_evidence,Do not delete; cite as archived-branch evidence.
ARCHIVE_MANIFEST_007,closeout,docs/idare_label_semantics_redesigned_task_archive_closeout_objective.md,archive-closeout objective,yes,retained_as_negative_evidence,Closeout artifact for archived redesigned task branch.
ARCHIVE_MANIFEST_008,closeout,docs/idare_label_semantics_redesigned_task_archive_closeout_report.md,archive-closeout report,yes,retained_as_negative_evidence,Closeout artifact for archived redesigned task branch.
ARCHIVE_MANIFEST_009,closeout,docs/idare_label_semantics_redesigned_task_archive_closeout_scope.csv,archive-closeout scope,yes,retained_as_negative_evidence,Closeout artifact for archived redesigned task branch.
ARCHIVE_MANIFEST_010,closeout,docs/idare_label_semantics_redesigned_task_archive_closeout_stop_criteria.csv,archive stop criteria,yes,retained_as_negative_evidence,Closeout artifact for archived redesigned task branch.
ARCHIVE_MANIFEST_011,decision,docs/idare_label_semantics_redesigned_task_archive_or_alternative_formulation_report.md,archive-or-alternative decision report,yes,retained_as_negative_evidence,Closeout artifact for archived redesigned task branch.
