branch,role,tip,commits_ahead_of_roca_before_consolidation,changed_files_vs_roca_before_consolidation,status_after_06b3,scientific_use
origin/idare/postwave1/data-augmentation-track,historical augmentation evidence,f9728de,29,96,merged_into_roca_consolidate_branches_as_historical_evidence,preserve/cite as evidence; do not override locked-gate ROCA conclusion
origin/idare/postwave1/idare-prior-best-cell-confirmation,prior-best confirmation evidence,2b72f40,23,84,merged_into_roca_consolidate_branches_as_historical_evidence,preserve/cite as evidence; do not override locked-gate ROCA conclusion
origin/idare/postwave1/label-task-protocol-reconciliation,label/task protocol evidence,19188db,18,60,merged_into_roca_consolidate_branches_as_historical_evidence,preserve/cite as evidence; do not override locked-gate ROCA conclusion
origin/idare/postwave1/root-cause-triage,root-cause triage evidence,86b239a,17,58,merged_into_roca_consolidate_branches_as_historical_evidence,preserve/cite as evidence; do not override locked-gate ROCA conclusion
origin/idare/postwave1/representation-redesign-confirmation,representation redesign confirmation evidence,79438a0,12,40,merged_into_roca_consolidate_branches_as_historical_evidence,preserve/cite as evidence; do not override locked-gate ROCA conclusion
origin/idare/postwave1/representation-redesign-smoke,representation redesign smoke evidence,2fd7f18,12,43,merged_into_roca_consolidate_branches_as_historical_evidence,preserve/cite as evidence; do not override locked-gate ROCA conclusion
origin/idare/postwave1/strict-ntd-norm-smoke,strict non-transductive normalization evidence,908dd55,7,25,merged_into_roca_consolidate_branches_as_historical_evidence,preserve/cite as evidence; do not override locked-gate ROCA conclusion
origin/idare/wave1/eeg-input-definition,early EEG input definition evidence,195c148,2,11,merged_into_roca_consolidate_branches_as_historical_evidence,preserve/cite as evidence; do not override locked-gate ROCA conclusion
origin/idare/wave1/eeg-subject-normalization,early EEG subject-normalization evidence,91f6573,1,9,merged_into_roca_consolidate_branches_as_historical_evidence,preserve/cite as evidence; do not override locked-gate ROCA conclusion
origin/idare/wave1/emg-baseline-ablation,early EMG baseline evidence,5a008c8,1,11,merged_into_roca_consolidate_branches_as_historical_evidence,preserve/cite as evidence; do not override locked-gate ROCA conclusion
origin/idare/wave1/feature-discriminability,early feature discriminability evidence,f35d1a2,2,7,merged_into_roca_consolidate_branches_as_historical_evidence,preserve/cite as evidence; do not override locked-gate ROCA conclusion
