path,kind,size_mb,estimated_rows,columns,subject_col,stimulus_col,unique_subjects_sample,unique_stimuli_sample,duplicate_subject_stimulus_pairs_sample,full_grid_hint,label_cols,time_policy_cols,time_policy_minmax_sample
.cache/idare_raw_emg_cache_index.csv,csv,0.7111,2016,"cache_row, subject_id, subject_col, stimulus_id, raw_event_name, bsl_event_index_0based, stim_event_index_0based, bsl_event_index_1based, stim_event_index_1based, emg_file, emg_channels, emg_begin_raw, emg_end_raw, bsl_emg_begin_raw, fixed_window_samples, stim_event_duration_samples, baseline_correction, valence_score, arousal_score, diag_baseline_mean_global, diag_baseline_mean_abs_mean, diag_corrected_mean_before_zscore, diag_corrected_std_before_zscore, diag_window_mean_after_preprocess, diag_window_std_after_preprocess, valence_discard_midpoint, valence_midpoint_as_low, valence_midpoint_as_high, arousal_discard_midpoint, arousal_midpoint_as_low, arousal_midpoint_as_high",subject_id,stimulus_id,63,32,0,unique_subjects*unique_stimuli=2016; rows_sample_or_total=2016,"valence_score, arousal_score","stimulus_id, emg_end_raw, fixed_window_samples, stim_event_duration_samples, baseline_correction, diag_baseline_mean_global, diag_baseline_mean_abs_mean, diag_window_mean_after_preprocess, diag_window_std_after_preprocess","{""stimulus_id"": ""1441..9360"", ""emg_end_raw"": ""631689..2.39947e+06"", ""fixed_window_samples"": ""10000..10000"", ""stim_event_duration_samples"": ""9970..10134"", ""diag_baseline_mean_global"": ""-1.66872..0.142333"", ""diag_baseline_mean_abs_mean"": ""6.91767e-05..1.68894"", ""diag_window_mean_after_preprocess"": ""-1.77383e-08..1.8692e-08"", ""diag_window_std_after_preprocess"": ""1..1""}"
.cache/idare_eeg_cache_index_baseline_corrected_smoke.csv,csv,0.0177,64,"cache_row, subject_id, subject_col, stimulus_id, raw_event_name, bsl_raw_event_name, eeg_file, eeg_begin_raw, bsl_eeg_begin_raw, stim_event_index_0based, bsl_event_index_0based, stim_event_index_1based, bsl_event_index_1based, baseline_correction, valence_score, arousal_score, diag_baseline_mean_global, diag_baseline_mean_abs_mean, diag_corrected_mean_before_zscore, diag_corrected_std_before_zscore, valence_discard_midpoint, valence_midpoint_as_low, valence_midpoint_as_high, arousal_discard_midpoint, arousal_midpoint_as_low, arousal_midpoint_as_high",subject_id,stimulus_id,2,32,0,unique_subjects*unique_stimuli=64; rows_sample_or_total=64,"valence_score, arousal_score","stimulus_id, baseline_correction, diag_baseline_mean_global, diag_baseline_mean_abs_mean","{""stimulus_id"": ""1441..9360"", ""diag_baseline_mean_global"": ""-0.902879..0.837072"", ""diag_baseline_mean_abs_mean"": ""0.140419..3.06152""}"
.cache/idare_emg_feature_cache_index_smoke.csv,csv,0.6706,2016,"cache_row, subject_id, subject_col, stimulus_id, raw_event_name, bsl_event_index_0based, stim_event_index_0based, bsl_event_index_1based, stim_event_index_1based, emg_file, emg_channels, emg_begin_raw, emg_end_raw, bsl_emg_begin_raw, bsl_emg_end_raw, fixed_window_samples, stim_event_duration_samples, bsl_event_duration_samples, baseline_correction, valence_score, arousal_score, diag_baseline_mean_global, diag_baseline_mean_abs_mean, diag_corrected_mean_before_features, diag_corrected_std_before_features, valence_discard_midpoint, valence_midpoint_as_low, valence_midpoint_as_high, arousal_discard_midpoint, arousal_midpoint_as_low, arousal_midpoint_as_high",subject_id,stimulus_id,63,32,0,unique_subjects*unique_stimuli=2016; rows_sample_or_total=2016,"valence_score, arousal_score","stimulus_id, emg_end_raw, bsl_emg_end_raw, fixed_window_samples, stim_event_duration_samples, bsl_event_duration_samples, baseline_correction, diag_baseline_mean_global, diag_baseline_mean_abs_mean","{""stimulus_id"": ""1441..9360"", ""emg_end_raw"": ""631689..2.39947e+06"", ""bsl_emg_end_raw"": ""621539..2.38925e+06"", ""fixed_window_samples"": ""10000..10000"", ""stim_event_duration_samples"": ""9970..10134"", ""bsl_event_duration_samples"": ""9968..10184"", ""diag_baseline_mean_global"": ""-1.66872..0.142333"", ""diag_baseline_mean_abs_mean"": ""6.92104e-05..1.68894""}"
.cache/idare_raw_emg_cache_index_smoke.csv,csv,0.023,64,"cache_row, subject_id, subject_col, stimulus_id, raw_event_name, bsl_event_index_0based, stim_event_index_0based, bsl_event_index_1based, stim_event_index_1based, emg_file, emg_channels, emg_begin_raw, emg_end_raw, bsl_emg_begin_raw, fixed_window_samples, stim_event_duration_samples, baseline_correction, valence_score, arousal_score, diag_baseline_mean_global, diag_baseline_mean_abs_mean, diag_corrected_mean_before_zscore, diag_corrected_std_before_zscore, diag_window_mean_after_preprocess, diag_window_std_after_preprocess, valence_discard_midpoint, valence_midpoint_as_low, valence_midpoint_as_high, arousal_discard_midpoint, arousal_midpoint_as_low, arousal_midpoint_as_high",subject_id,stimulus_id,2,32,0,unique_subjects*unique_stimuli=64; rows_sample_or_total=64,"valence_score, arousal_score","stimulus_id, emg_end_raw, fixed_window_samples, stim_event_duration_samples, baseline_correction, diag_baseline_mean_global, diag_baseline_mean_abs_mean, diag_window_mean_after_preprocess, diag_window_std_after_preprocess","{""stimulus_id"": ""1441..9360"", ""emg_end_raw"": ""749189..2.19145e+06"", ""fixed_window_samples"": ""10000..10000"", ""stim_event_duration_samples"": ""9972..10008"", ""diag_baseline_mean_global"": ""-0.0603686..0.0359104"", ""diag_baseline_mean_abs_mean"": ""0.00210739..0.0966933"", ""diag_window_mean_after_preprocess"": ""-1.43528e-08..1.56403e-08"", ""diag_window_std_after_preprocess"": ""1..1""}"
.cache/idare_trial_index.csv,csv,0.6133,2016,"subject_id, subject_col, stimulus_id, raw_event_name, event_index_0based, event_index_1based, description, metadata_duration_sec, eeg_file, emg_file, eeg_fs, emg_fs, eeg_data_shape, emg_data_shape, eeg_begin_raw, eeg_end_raw, eeg_duration_samples, eeg_duration_sec, emg_begin_raw, emg_end_raw, emg_duration_samples, emg_duration_sec, valence_score, arousal_score, valence_label_gt5, arousal_label_gt5, valence_is_discard_score5, arousal_is_discard_score5, quadrant_gs, quadrant_subject",subject_id,stimulus_id,63,32,0,unique_subjects*unique_stimuli=2016; rows_sample_or_total=2016,"valence_score, arousal_score","stimulus_id, metadata_duration_sec, eeg_end_raw, eeg_duration_samples, eeg_duration_sec, emg_end_raw, emg_duration_samples, emg_duration_sec","{""stimulus_id"": ""1441..9360"", ""metadata_duration_sec"": ""4.985..5.067"", ""eeg_end_raw"": ""161712..614263"", ""eeg_duration_samples"": ""2551..2593"", ""eeg_duration_sec"": ""4.98242..5.06445"", ""emg_end_raw"": ""631689..2.39947e+06"", ""emg_duration_samples"": ""9970..10134"", ""emg_duration_sec"": ""4.985..5.067""}"
.cache/idare_eeg_bsl_stats_index_smoke.csv,csv,0.0221,64,"cache_row, subject_id, subject_col, stimulus_id, raw_event_name, bsl_event_index_0based, stim_event_index_0based, bsl_event_index_1based, stim_event_index_1based, eeg_file, eeg_channels, eeg_fs, bsl_eeg_begin_raw, fixed_window_samples, feature_dim, sidecar_policy, intended_pairing, valence_score, arousal_score, diag_bsl_mean_global, diag_bsl_mean_abs_mean, diag_bsl_std_global, diag_bsl_rms_global, diag_feature_mean, diag_feature_std, valence_discard_midpoint, valence_midpoint_as_low, valence_midpoint_as_high, arousal_discard_midpoint, arousal_midpoint_as_low, arousal_midpoint_as_high",subject_id,stimulus_id,2,32,0,unique_subjects*unique_stimuli=64; rows_sample_or_total=64,"valence_score, arousal_score","stimulus_id, fixed_window_samples, intended_pairing","{""stimulus_id"": ""1441..9360"", ""fixed_window_samples"": ""2560..2560""}"
.cache/idare_emg_bsl_stats_index.csv,csv,0.7078,2016,"cache_row, subject_id, subject_col, stimulus_id, raw_event_name, bsl_event_index_0based, stim_event_index_0based, bsl_event_index_1based, stim_event_index_1based, emg_file, emg_channels, emg_fs, bsl_emg_begin_raw, fixed_window_samples, feature_dim, sidecar_policy, intended_pairing, valence_score, arousal_score, diag_bsl_mean_global, diag_bsl_mean_abs_mean, diag_bsl_std_global, diag_bsl_rms_global, diag_feature_mean, diag_feature_std, valence_discard_midpoint, valence_midpoint_as_low, valence_midpoint_as_high, arousal_discard_midpoint, arousal_midpoint_as_low, arousal_midpoint_as_high",subject_id,stimulus_id,63,32,0,unique_subjects*unique_stimuli=2016; rows_sample_or_total=2016,"valence_score, arousal_score","stimulus_id, fixed_window_samples, intended_pairing","{""stimulus_id"": ""1441..9360"", ""fixed_window_samples"": ""10000..10000""}"
.cache/idare_eeg_cache_index.csv,csv,0.2314,2016,"cache_row, subject_id, subject_col, stimulus_id, raw_event_name, eeg_file, eeg_begin_raw, valence_score, arousal_score, valence_discard_midpoint, valence_midpoint_as_low, valence_midpoint_as_high, arousal_discard_midpoint, arousal_midpoint_as_low, arousal_midpoint_as_high",subject_id,stimulus_id,63,32,0,unique_subjects*unique_stimuli=2016; rows_sample_or_total=2016,"valence_score, arousal_score",stimulus_id,"{""stimulus_id"": ""1441..9360""}"
.cache/idare_eeg_bsl_stats_index.csv,csv,0.6853,2016,"cache_row, subject_id, subject_col, stimulus_id, raw_event_name, bsl_event_index_0based, stim_event_index_0based, bsl_event_index_1based, stim_event_index_1based, eeg_file, eeg_channels, eeg_fs, bsl_eeg_begin_raw, fixed_window_samples, feature_dim, sidecar_policy, intended_pairing, valence_score, arousal_score, diag_bsl_mean_global, diag_bsl_mean_abs_mean, diag_bsl_std_global, diag_bsl_rms_global, diag_feature_mean, diag_feature_std, valence_discard_midpoint, valence_midpoint_as_low, valence_midpoint_as_high, arousal_discard_midpoint, arousal_midpoint_as_low, arousal_midpoint_as_high",subject_id,stimulus_id,63,32,0,unique_subjects*unique_stimuli=2016; rows_sample_or_total=2016,"valence_score, arousal_score","stimulus_id, fixed_window_samples, intended_pairing","{""stimulus_id"": ""1441..9360"", ""fixed_window_samples"": ""2560..2560""}"
.cache/idare_emg_feature_cache_index.csv,csv,0.6706,2016,"cache_row, subject_id, subject_col, stimulus_id, raw_event_name, bsl_event_index_0based, stim_event_index_0based, bsl_event_index_1based, stim_event_index_1based, emg_file, emg_channels, emg_begin_raw, emg_end_raw, bsl_emg_begin_raw, bsl_emg_end_raw, fixed_window_samples, stim_event_duration_samples, bsl_event_duration_samples, baseline_correction, valence_score, arousal_score, diag_baseline_mean_global, diag_baseline_mean_abs_mean, diag_corrected_mean_before_features, diag_corrected_std_before_features, valence_discard_midpoint, valence_midpoint_as_low, valence_midpoint_as_high, arousal_discard_midpoint, arousal_midpoint_as_low, arousal_midpoint_as_high",subject_id,stimulus_id,63,32,0,unique_subjects*unique_stimuli=2016; rows_sample_or_total=2016,"valence_score, arousal_score","stimulus_id, emg_end_raw, bsl_emg_end_raw, fixed_window_samples, stim_event_duration_samples, bsl_event_duration_samples, baseline_correction, diag_baseline_mean_global, diag_baseline_mean_abs_mean","{""stimulus_id"": ""1441..9360"", ""emg_end_raw"": ""631689..2.39947e+06"", ""bsl_emg_end_raw"": ""621539..2.38925e+06"", ""fixed_window_samples"": ""10000..10000"", ""stim_event_duration_samples"": ""9970..10134"", ""bsl_event_duration_samples"": ""9968..10184"", ""diag_baseline_mean_global"": ""-1.66872..0.142333"", ""diag_baseline_mean_abs_mean"": ""6.92104e-05..1.68894""}"
