task,heldout_subject,n_train_unique_pairs,n_val_unique_pairs,subject_overlap,pair_overlap,reversed_pair_overlap,fold_leakage_pass
valence,1,26312,442,0,0,0,True
valence,10,26308,446,0,0,0,True
valence,11,26334,420,0,0,0,True
valence,12,26338,416,0,0,0,True
valence,13,26344,410,0,0,0,True
valence,14,26345,409,0,0,0,True
valence,15,26330,424,0,0,0,True
valence,16,26331,423,0,0,0,True
valence,17,26314,440,0,0,0,True
valence,18,26333,421,0,0,0,True
valence,19,26332,422,0,0,0,True
valence,2,26311,443,0,0,0,True
valence,20,26312,442,0,0,0,True
valence,21,26324,430,0,0,0,True
valence,22,26350,404,0,0,0,True
valence,23,26316,438,0,0,0,True
valence,24,26353,401,0,0,0,True
valence,25,26310,444,0,0,0,True
valence,26,26325,429,0,0,0,True
valence,27,26325,429,0,0,0,True
valence,28,26349,405,0,0,0,True
valence,29,26315,439,0,0,0,True
valence,3,26305,449,0,0,0,True
valence,30,26334,420,0,0,0,True
valence,31,26390,364,0,0,0,True
valence,32,26322,432,0,0,0,True
valence,33,26322,432,0,0,0,True
valence,34,26334,420,0,0,0,True
valence,35,26318,436,0,0,0,True
valence,36,26315,439,0,0,0,True
valence,37,26372,382,0,0,0,True
valence,38,26346,408,0,0,0,True
valence,39,26327,427,0,0,0,True
valence,40,26330,424,0,0,0,True
valence,41,26360,394,0,0,0,True
valence,42,26330,424,0,0,0,True
valence,43,26314,440,0,0,0,True
valence,44,26334,420,0,0,0,True
valence,45,26331,423,0,0,0,True
valence,46,26310,444,0,0,0,True
valence,47,26345,409,0,0,0,True
valence,48,26320,434,0,0,0,True
valence,49,26357,397,0,0,0,True
valence,5,26312,442,0,0,0,True
valence,50,26332,422,0,0,0,True
valence,52,26316,438,0,0,0,True
valence,53,26344,410,0,0,0,True
valence,54,26321,433,0,0,0,True
valence,55,26348,406,0,0,0,True
valence,56,26315,439,0,0,0,True
valence,57,26315,439,0,0,0,True
valence,58,26309,445,0,0,0,True
valence,59,26314,440,0,0,0,True
valence,6,26326,428,0,0,0,True
valence,60,26338,416,0,0,0,True
valence,61,26349,405,0,0,0,True
valence,62,26318,436,0,0,0,True
valence,63,26328,426,0,0,0,True
valence,64,26341,413,0,0,0,True
valence,65,26326,428,0,0,0,True
valence,7,26334,420,0,0,0,True
valence,8,26305,449,0,0,0,True
valence,9,26330,424,0,0,0,True
arousal,1,25657,439,0,0,0,True
arousal,10,25649,447,0,0,0,True
arousal,11,25666,430,0,0,0,True
arousal,12,25737,359,0,0,0,True
arousal,13,25721,375,0,0,0,True
arousal,14,25688,408,0,0,0,True
arousal,15,25665,431,0,0,0,True
arousal,16,25653,443,0,0,0,True
arousal,17,25671,425,0,0,0,True
arousal,18,25654,442,0,0,0,True
arousal,19,25675,421,0,0,0,True
arousal,2,25672,424,0,0,0,True
arousal,20,25662,434,0,0,0,True
arousal,21,25667,429,0,0,0,True
arousal,22,25690,406,0,0,0,True
arousal,23,25653,443,0,0,0,True
arousal,24,25656,440,0,0,0,True
arousal,25,25670,426,0,0,0,True
arousal,26,25720,376,0,0,0,True
arousal,27,25682,414,0,0,0,True
arousal,28,25693,403,0,0,0,True
arousal,29,25665,431,0,0,0,True
arousal,3,25690,406,0,0,0,True
arousal,30,25673,423,0,0,0,True
arousal,31,25688,408,0,0,0,True
arousal,32,25658,438,0,0,0,True
arousal,33,25675,421,0,0,0,True
arousal,34,25667,429,0,0,0,True
arousal,35,25677,419,0,0,0,True
arousal,36,25653,443,0,0,0,True
arousal,37,25712,384,0,0,0,True
arousal,38,25662,434,0,0,0,True
arousal,39,25676,420,0,0,0,True
arousal,40,25677,419,0,0,0,True
arousal,41,25783,313,0,0,0,True
arousal,42,25663,433,0,0,0,True
arousal,43,25692,404,0,0,0,True
arousal,44,25670,426,0,0,0,True
arousal,45,25668,428,0,0,0,True
arousal,46,25687,409,0,0,0,True
arousal,47,25661,435,0,0,0,True
arousal,48,25652,444,0,0,0,True
arousal,49,25701,395,0,0,0,True
arousal,5,25675,421,0,0,0,True
arousal,50,25655,441,0,0,0,True
arousal,52,25659,437,0,0,0,True
arousal,53,25663,433,0,0,0,True
arousal,54,25670,426,0,0,0,True
arousal,55,25736,360,0,0,0,True
arousal,56,25658,438,0,0,0,True
arousal,57,25669,427,0,0,0,True
arousal,58,25689,407,0,0,0,True
arousal,59,25674,422,0,0,0,True
arousal,6,25714,382,0,0,0,True
arousal,60,25674,422,0,0,0,True
arousal,61,25707,389,0,0,0,True
arousal,62,25708,388,0,0,0,True
arousal,63,25701,395,0,0,0,True
arousal,64,25672,424,0,0,0,True
arousal,65,25766,330,0,0,0,True
arousal,7,25747,349,0,0,0,True
arousal,8,25697,399,0,0,0,True
arousal,9,25667,429,0,0,0,True
