manifest_id,script_path,script_type,provenance,source_objective,command,expected_outputs,status,notes
M001,scripts/idare/README.md,readme,new_committed_reproducibility_layer,docs/idare_script_archival_and_reproducibility_objective.md,cat scripts/idare/README.md,,created,Documents I-DARE script archival policy and layout.
M002,scripts/idare/analysis/run_idare_label_semantics_minimal_redesigned_task_failure_or_confirmation_analysis.py,read_only_analysis,new_committed_reproducibility_layer,docs/idare_label_semantics_minimal_redesigned_task_failure_or_confirmation_analysis_objective.md,scripts/idare/analysis/run_idare_label_semantics_minimal_redesigned_task_failure_or_confirmation_analysis.py,docs/idare_label_semantics_minimal_redesigned_task_failure_or_confirmation_analysis_report.md;docs/idare_label_semantics_minimal_redesigned_task_failure_or_confirmation_analysis_report.json;docs/idare_label_semantics_minimal_redesigned_task_cell_decision_matrix.csv;docs/idare_label_semantics_minimal_redesigned_task_fold_instability_audit.csv;docs/idare_label_semantics_minimal_redesigned_task_subject_error_audit.csv;docs/idare_label_semantics_minimal_redesigned_task_metric_conflict_audit.csv,created_not_yet_run,Active paused analysis can run from this committed script after human review.
M003,scripts/idare/archive_or_reconstructed/,historical_backfill_area,placeholder_only,docs/idare_script_archival_and_reproducibility_objective.md,,,available_for_future_reconstructable_backfill,Historical ~/Downloads scripts must be labeled reconstructed_from_log if backfilled.
HIST_BACKFILL_001,scripts/idare/archive_or_reconstructed/from_downloads_bundle/builds/build_commit_idare_broader_eval_report.sh,build_or_commit_command,user_uploaded_downloads_archive_original_if_sha_matches_archive,docs/idare_historical_script_backfill_objective.md,,,archived_not_executed_review_required_before_any_use,Historical shell script copied byte-for-byte from Downloads.tar.gz; sha256=a44b57153c7dc9c54980a7032866f9cf59e789d0c3acf28b0c5b17e2283f88da; source_path=build_commit_idare_broader_eval_report.sh; not curated and not executed during archival.
HIST_BACKFILL_002,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_broader_eval_objective.sh,objective_or_review_creator,user_uploaded_downloads_archive_original_if_sha_matches_archive,docs/idare_historical_script_backfill_objective.md,,,archived_not_executed_review_required_before_any_use,Historical shell script copied byte-for-byte from Downloads.tar.gz; sha256=1ff11a50ab9425c6e033043161ae5f0cae8ca980d984335e50a3b2a99739e13e; source_path=create_idare_broader_eval_objective.sh; not curated and not executed during archival.
HIST_BACKFILL_003,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_broader_eval_review_closeout.sh,objective_or_review_creator,user_uploaded_downloads_archive_original_if_sha_matches_archive,docs/idare_historical_script_backfill_objective.md,,,archived_not_executed_review_required_before_any_use,Historical shell script copied byte-for-byte from Downloads.tar.gz; sha256=f621ce220736cf3452cde569d83e5db71a22e6881aeaca53f7f6a1e3ed4123e1; source_path=create_idare_broader_eval_review_closeout.sh; not curated and not executed during archival.
HIST_BACKFILL_004,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_calibration_protocol_objective.sh,objective_or_review_creator,user_uploaded_downloads_archive_original_if_sha_matches_archive,docs/idare_historical_script_backfill_objective.md,,,archived_not_executed_review_required_before_any_use,Historical shell script copied byte-for-byte from Downloads.tar.gz; sha256=0acaa5ef9b38a6e151e21df284bacf1d1ede1fc5602a0c80c719034445e3ccbd; source_path=create_idare_calibration_protocol_objective.sh; not curated and not executed during archival.
HIST_BACKFILL_005,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_calibration_subject_generalization_objective.sh,objective_or_review_creator,user_uploaded_downloads_archive_original_if_sha_matches_archive,docs/idare_historical_script_backfill_objective.md,,,archived_not_executed_review_required_before_any_use,Historical shell script copied byte-for-byte from Downloads.tar.gz; sha256=55a4a6ef5551c1cee5f01c3f7466952ecadf86ce9c004fc783291bf18b472cc0; source_path=create_idare_calibration_subject_generalization_objective.sh; not curated and not executed during archival.
HIST_BACKFILL_006,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_cautious_subject_variability_supcon_dg_design_objective.sh,objective_or_review_creator,user_uploaded_downloads_archive_original_if_sha_matches_archive,docs/idare_historical_script_backfill_objective.md,,,archived_not_executed_review_required_before_any_use,Historical shell script copied byte-for-byte from Downloads.tar.gz; sha256=80060a9fbabe627efc00c81d59843384e8b0c6b9e0b83bcd1777d49f587a4571; source_path=create_idare_cautious_subject_variability_supcon_dg_design_objective.sh; not curated and not executed during archival.
HIST_BACKFILL_007,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_diagnostic_sanity_tests_objective.sh,objective_or_review_creator,user_uploaded_downloads_archive_original_if_sha_matches_archive,docs/idare_historical_script_backfill_objective.md,,,archived_not_executed_review_required_before_any_use,Historical shell script copied byte-for-byte from Downloads.tar.gz; sha256=fb08d681316f0e7b7437143129ab3e11cfce4a13dbbcc78fba37d1d008981ab7; source_path=create_idare_diagnostic_sanity_tests_objective.sh; not curated and not executed during archival.
HIST_BACKFILL_008,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_failure_analysis_objective.sh,objective_or_review_creator,user_uploaded_downloads_archive_original_if_sha_matches_archive,docs/idare_historical_script_backfill_objective.md,,,archived_not_executed_review_required_before_any_use,Historical shell script copied byte-for-byte from Downloads.tar.gz; sha256=adf7581b7813467a8f9985f0c3515877d1348addbc8779d3cc18439ac3096230; source_path=create_idare_failure_analysis_objective.sh; not curated and not executed during archival.
HIST_BACKFILL_009,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_label_policy_ablation_objective.sh,objective_or_review_creator,user_uploaded_downloads_archive_original_if_sha_matches_archive,docs/idare_historical_script_backfill_objective.md,,,archived_not_executed_review_required_before_any_use,Historical shell script copied byte-for-byte from Downloads.tar.gz; sha256=098eb7748e5947aef65e74e8008984e53b1a7a899e9efae032a5c65a99f88d0b; source_path=create_idare_label_policy_ablation_objective.sh; not curated and not executed during archival.
HIST_BACKFILL_010,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_label_policy_review_closeout.sh,objective_or_review_creator,user_uploaded_downloads_archive_original_if_sha_matches_archive,docs/idare_historical_script_backfill_objective.md,,,archived_not_executed_review_required_before_any_use,Historical shell script copied byte-for-byte from Downloads.tar.gz; sha256=d3cce56bab85dd170f951573b207c8569b9f41077388fceff4215af4d7959a0c; source_path=create_idare_label_policy_review_closeout.sh; not curated and not executed during archival.
